claim_id,route,section,website_source_file,website_source_reference,website_claim,primary_classification,secondary_flags,ppt_supported,ppt_source_file,ppt_slide,ppt_source_summary,external_verification_required,legal_review_required,founder_approval_required,risk_level,approval_owner,recommended_action,notes
"SITE-001","sitewide","identity","apps/web/src/content/site.ts","lines 3-10","Tamil Ulagam Global Federation is the public organisation name.","A","E;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","1;22","Tamil Ulagam and Global Federation naming appear in the source.","Yes","Yes","Yes","High","Founder","Founder review","Confirm whether federation is brand wording or legal status."
"SITE-002","sitewide","description","apps/web/src/content/site.ts","lines 6-9","The site is a permanent digital foundation for global Tamil connection and opportunity.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","1-3","Source proposes a global digital bridge.","No","No","Yes","Medium","Founder","Founder review","Permanent-foundation wording is editorial expansion."
"SITE-003","sitewide","languages","apps/web/src/content/site.ts","line 10","The current interface language architecture lists English and Tamil.","C","H","No","source-materials/Tamil-Ulagam-Source.pptx","6","Source proposes four languages including Sinhala and Malayalam.","No","No","Yes","Low","Product","Governance review","This is scoped implementation rather than four-language availability."
"SITE-004","sitewide","navigation","apps/web/src/content/navigation.ts","lines 3-54","Navigation exposes the public federation and initiative routes.","C","","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","No","Low","Product","Keep as written","Information architecture does not imply operational services."
"SITE-005","sitewide","indexing","apps/web/src/app/robots.ts","lines 5-15","The public site permits search indexing.","C","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Product","Governance review","Publication increases the need to resolve approvals."
"SITE-006","sitewide","footer","apps/web/src/components/site-footer.tsx","lines 12-65","The footer identifies this as a public website foundation.","J","","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","No","Low","No approval required","Keep as written","Safe scope wording."
"HOME-001","/","hero metadata","apps/web/src/content/homepage.ts","lines 4-10","One community one identity and one global future through a global digital home.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","1-3","Global community connection and digital bridge vision.","No","No","Yes","Medium","Founder","Founder review","Metadata repeats the hero claim."
"HOME-002","/","vision signals","apps/web/src/content/homepage.ts","lines 11-16","Global community shared identity trusted connections and future opportunity.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","2;5","Vision and connect/empower objectives.","No","No","Yes","Low","Founder","Founder review","Editorial summary."
"HOME-003","/","pillars","apps/web/src/content/homepage.ts","lines 17-39","Connect Empower and Preserve are core platform pillars.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","5","Three of the six core objectives.","No","No","Yes","Low","Founder","Founder review","Direct source concepts."
"HOME-004","/","why Tamil Ulagam","apps/web/src/content/homepage.ts","lines 40-44","Global Tamil connections are fragmented and need a trusted digital bridge.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","3","Fragmentation and lack of unified platform.","Yes","No","Yes","Medium","Founder","Rewrite more cautiously","The general diagnosis is sourced but not independently evidenced."
"HOME-005","/","Tamil ID","apps/web/src/content/homepage.ts","lines 45-55","Tamil ID is an envisioned secure digital membership credential with privacy-conscious verification and future access.","H","D;F;J","Yes","source-materials/Tamil-Ulagam-Source.pptx","8","Source asserts QR identity and benefits as available/defined.","No","Yes","Yes","High","Founder","Keep but label planned","Site appropriately softens the source."
"HOME-006","/","initiatives","apps/web/src/content/homepage.ts","lines 57-82","Eight initiative domains form a long-term connected ecosystem.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","9-17","Eight sector initiatives are described.","No","No","Yes","Medium","Founder","Founder review","Long-term status avoids present availability."
"HOME-007","/","chapters","apps/web/src/content/homepage.ts","lines 84-89","Tamil Ulagam aims to connect future country and city chapters within one federation.","H","J;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","18","Source asserts 50+ chapters and named locations.","Yes","No","Yes","High","Chapter governance","Keep but label planned","No active count is claimed."
